week,tv_spend,facebook_spend,search_spend,other_spend,revenue,log_revenue
2005-09-18,1.39,1.23,1.55,0.55,-214.61,0.0
2005-09-25,3.74,1.91,3.66,0.37,3.0,1.1
2005-10-02,2.76,0.75,0.94,0.36,222.28,5.4
2005-10-09,1.49,2.8,1.45,1.09,-90.68,0.0
2005-10-16,2.98,0.85,3.21,0.44,140.81,4.95
2005-10-23,1.14,1.06,3.07,1.17,358.71,5.88
2005-10-30,4.64,1.9,1.73,0.86,-388.49,0.0
2005-11-06,2.04,2.41,1.0,0.87,-3.72,0.0
2005-11-13,3.65,2.05,3.55,1.38,166.2,5.11
2005-11-20,2.25,1.08,1.8,0.58,-297.53,0.0
2005-11-27,3.08,0.5,1.43,1.6,-45.84,0.0
2005-12-04,3.19,2.39,2.45,1.29,306.33,5.72
2005-12-11,1.74,2.96,3.71,1.86,-26.42,0.0
2005-12-18,4.88,2.52,0.94,0.92,-208.85,0.0
2005-12-25,4.1,1.65,3.25,1.97,337.39,5.82
2006-01-01,4.76,2.76,2.63,1.28,205.95,5.33
2006-01-08,4.58,1.52,2.16,1.95,83.35,4.42
2006-01-15,3.39,1.81,3.18,0.35,78.65,4.36
2006-01-22,4.69,1.69,3.89,1.54,329.52,5.8
2006-01-29,1.35,1.62,1.53,1.69,120.61,4.79
2006-02-05,1.78,2.44,1.26,0.39,193.5,5.27
2006-02-12,1.18,1.82,3.72,1.28,-45.02,0.0
2006-02-19,2.3,1.29,2.94,1.66,-297.13,0.0
2006-02-26,2.55,1.15,2.2,1.25,197.86,5.29
2006-03-05,2.09,0.59,2.63,0.41,285.56,5.65
2006-03-12,4.31,1.96,3.19,1.48,68.29,4.22
2006-03-19,2.43,1.07,3.27,0.4,260.99,5.56
2006-03-26,2.12,0.87,3.74,1.69,24.99,3.22
2006-04-02,3.17,2.13,2.17,0.37,67.2,4.21
2006-04-09,1.56,2.2,1.74,0.53,418.18,6.04
2006-04-16,4.21,2.38,2.85,0.77,50.47,3.92
2006-04-23,1.3,1.76,2.13,1.38,0.22,0.0
2006-04-30,4.95,2.74,2.7,1.96,-251.25,0.0
2006-05-07,4.09,2.84,2.14,0.5,239.48,5.48
2006-05-14,1.79,2.52,1.29,0.54,-75.33,0.0
2006-05-21,1.02,2.09,2.3,0.93,101.86,4.62
2006-05-28,4.26,1.26,3.01,1.72,39.97,3.69
2006-06-04,3.83,2.96,3.36,1.09,32.79,3.49
2006-06-11,3.92,1.19,2.38,0.85,61.92,4.13
2006-06-18,4.09,1.01,1.33,1.25,62.79,4.14
2006-06-25,1.3,1.61,2.13,0.74,300.47,5.71
2006-07-02,2.43,0.64,3.32,0.98,385.87,5.96
2006-07-09,1.46,2.95,2.12,0.87,213.35,5.36
2006-07-16,4.45,1.97,3.03,1.67,367.35,5.91
2006-07-23,3.49,1.89,2.42,1.87,267.19,5.59
2006-07-30,2.32,2.14,1.57,1.59,174.72,5.16
2006-08-06,1.25,1.74,3.35,1.05,377.42,5.93
2006-08-13,2.24,0.58,1.07,1.16,-214.95,0.0
2006-08-20,2.3,2.03,2.48,0.51,-54.36,0.0
2006-08-27,3.92,2.29,1.47,1.57,-75.47,0.0
2006-09-03,3.55,1.54,1.01,1.31,8.42,2.13
2006-09-10,4.55,2.39,2.41,1.83,247.6,5.51
2006-09-17,2.89,1.07,2.4,0.64,-147.92,0.0
2006-09-24,1.48,1.05,3.06,1.59,178.91,5.19
2006-10-01,3.85,0.9,3.18,1.46,-20.68,0.0
2006-10-08,4.04,1.43,3.13,0.75,30.79,3.43
2006-10-15,3.25,2.62,2.11,1.43,136.29,4.91
2006-10-22,4.08,2.57,2.82,1.87,451.44,6.11
2006-10-29,2.98,1.46,2.65,1.86,-52.18,0.0
2006-11-05,3.09,1.97,2.15,1.52,72.23,4.28
2006-11-12,2.71,2.3,2.71,0.38,-123.76,0.0
2006-11-19,1.1,1.1,3.83,1.78,-55.96,0.0
2006-11-26,1.43,0.92,1.42,1.42,-166.62,0.0
2006-12-03,1.13,2.93,3.7,0.83,152.74,5.03
2006-12-10,3.55,2.04,0.97,0.62,155.61,5.05
2006-12-17,2.26,2.95,1.79,0.5,220.2,5.39
2006-12-24,3.03,1.34,1.72,0.39,-82.57,0.0
2006-12-31,4.63,2.26,2.8,1.58,215.7,5.37
2007-01-07,2.0,1.06,1.22,0.7,73.08,4.29
2007-01-14,2.64,1.15,3.62,0.34,79.48,4.38
2007-01-21,4.02,1.78,3.45,0.98,-138.1,0.0
2007-01-28,1.92,1.3,2.89,1.12,110.46,4.7
2007-02-04,1.31,0.92,2.27,0.59,95.43,4.56
2007-02-11,2.16,1.16,3.79,0.37,110.16,4.7
2007-02-18,1.64,0.59,3.46,0.62,155.23,5.04
2007-02-25,4.72,2.26,2.4,1.45,247.04,5.51
2007-03-04,4.23,1.73,3.05,0.44,-117.09,0.0
2007-03-11,3.53,0.74,2.61,1.24,39.19,3.67
2007-03-18,4.49,0.93,2.68,0.55,193.16,5.26
2007-03-25,4.21,0.76,1.86,0.63,20.16,3.0
2007-04-01,1.75,2.03,2.28,0.97,269.25,5.6
2007-04-08,4.57,0.74,1.05,0.47,81.53,4.4
2007-04-15,3.16,2.39,1.94,0.59,-304.97,0.0
2007-04-22,4.23,0.55,3.03,0.89,258.21,5.55
2007-04-29,4.58,1.12,3.85,0.86,88.79,4.49
2007-05-06,2.27,2.73,3.88,1.57,-236.95,0.0
2007-05-13,1.44,2.3,2.58,0.43,29.43,3.38
2007-05-20,1.91,0.68,2.74,1.76,-180.26,0.0
2007-05-27,2.71,2.55,1.39,1.69,232.28,5.45
2007-06-03,4.27,1.73,3.02,1.6,101.19,4.62
2007-06-10,4.44,2.62,1.03,0.83,-98.28,0.0
2007-06-17,1.03,2.0,1.71,1.7,228.57,5.43
2007-06-24,3.04,2.2,2.94,0.61,189.64,5.25
2007-07-01,2.67,2.98,1.79,0.51,39.46,3.68
2007-07-08,1.89,1.08,0.96,0.38,-204.77,0.0
2007-07-15,1.48,2.06,3.46,1.9,-70.53,0.0
2007-07-22,2.35,1.65,1.79,0.82,-101.86,0.0
2007-07-29,4.77,0.6,1.0,1.86,218.98,5.39
2007-08-05,2.29,0.54,1.04,0.76,-292.0,0.0
2007-08-12,3.08,0.8,1.61,1.84,58.03,4.06
2007-08-19,3.81,2.12,1.37,1.84,35.64,3.57
2007-08-26,2.45,1.92,3.28,1.87,308.28,5.73
2007-09-02,4.89,1.88,1.83,1.14,141.41,4.95
2007-09-09,4.85,0.58,3.38,1.77,212.28,5.36
2007-09-16,2.01,1.67,1.36,1.92,-39.01,0.0
2007-09-23,2.99,2.81,2.38,0.85,-148.63,0.0
2007-09-30,2.2,1.49,3.0,1.01,20.55,3.02
2007-10-07,2.14,2.06,2.89,1.52,248.2,5.51
2007-10-14,1.15,2.45,2.72,0.81,238.46,5.47
2007-10-21,3.44,2.46,3.76,1.58,35.21,3.56
2007-10-28,3.01,1.8,1.53,0.43,-101.39,0.0
2007-11-04,1.21,2.64,2.38,1.19,-128.3,0.0
2007-11-11,2.11,1.48,3.63,0.51,64.3,4.16
2007-11-18,4.63,2.72,1.05,0.8,116.77,4.76
2007-11-25,1.96,1.1,0.98,0.74,341.89,5.83
2007-12-02,1.58,1.2,1.55,1.73,83.54,4.43
2007-12-09,2.96,0.63,2.83,0.63,199.54,5.3
2007-12-16,4.94,2.49,1.63,1.67,-53.84,0.0
2007-12-23,1.97,1.54,1.41,1.65,71.98,4.28
2007-12-30,3.69,1.07,2.27,1.15,110.16,4.7
2008-01-06,4.05,1.08,2.76,0.7,62.16,4.13
2008-01-13,1.95,2.75,1.6,0.69,71.64,4.27
2008-01-20,3.91,2.58,1.76,1.09,119.45,4.78
2008-01-27,2.47,1.88,2.76,0.31,181.61,5.2
2008-02-03,3.53,2.04,3.83,1.2,349.95,5.86
2008-02-10,3.53,1.69,2.96,1.92,-350.62,0.0
2008-02-17,3.14,1.48,3.31,0.56,318.04,5.76
2008-02-24,1.36,2.79,1.97,1.27,-261.83,0.0
2008-03-02,4.34,0.81,1.67,1.94,140.99,4.95
2008-03-09,2.28,1.55,2.25,1.76,550.56,6.31
2008-03-16,1.75,1.36,3.38,1.75,81.27,4.4
2008-03-23,1.16,1.75,2.26,1.7,108.64,4.69
2008-03-30,3.36,1.64,3.51,0.83,41.36,3.72
2008-04-06,3.71,1.8,3.96,1.81,253.23,5.53
2008-04-13,1.07,0.85,1.03,1.9,116.13,4.75
2008-04-20,3.05,1.78,0.95,1.14,-69.53,0.0
2008-04-27,1.91,1.11,1.28,0.9,29.34,3.38
2008-05-04,3.58,0.96,2.03,1.0,-148.04,0.0
2008-05-11,1.7,0.66,1.22,0.87,20.37,3.01
2008-05-18,3.76,2.41,3.59,0.66,32.21,3.47
2008-05-25,2.55,1.57,0.87,1.35,86.37,4.46
2008-06-01,4.75,2.07,1.81,1.26,-45.77,0.0
2008-06-08,1.55,2.32,1.39,1.09,23.64,3.16
2008-06-15,2.36,2.2,3.78,0.46,106.08,4.66
2008-06-22,1.45,1.68,2.94,1.65,99.84,4.6
2008-06-29,4.7,1.47,3.72,0.6,168.85,5.13
2008-07-06,4.51,1.44,3.91,0.49,79.67,4.38
2008-07-13,2.03,2.1,2.39,1.36,-73.23,0.0
2008-07-20,3.64,1.74,1.55,0.98,94.51,4.55
2008-07-27,4.27,2.62,1.42,0.4,53.16,3.97
2008-08-03,3.22,2.69,1.51,0.9,290.16,5.67
2008-08-10,3.12,0.93,3.07,1.61,320.29,5.77
2008-08-17,1.97,0.84,0.93,1.35,-227.92,0.0
2008-08-24,1.37,2.08,0.96,0.92,178.37,5.18
2008-08-31,4.59,1.25,2.75,0.63,259.62,5.56
2008-09-07,4.6,0.55,2.85,1.37,-176.11,0.0
2008-09-14,3.53,2.72,2.93,1.81,229.79,5.44
2008-09-21,2.36,1.07,1.99,1.4,247.69,5.51
2008-09-28,2.4,2.82,3.38,1.68,-77.78,0.0
2008-10-05,3.9,2.29,2.51,1.19,55.03,4.01
2008-10-12,4.59,2.41,1.14,1.52,127.52,4.85
2008-10-19,4.55,1.0,3.35,1.82,221.9,5.4
2008-10-26,4.12,1.09,3.85,1.61,-85.89,0.0
2008-11-02,3.57,1.8,0.99,1.85,305.7,5.72
2008-11-09,1.34,0.93,2.05,1.03,-348.06,0.0
2008-11-16,1.65,1.26,2.36,1.84,337.67,5.82
2008-11-23,4.59,1.3,1.27,1.36,188.27,5.24
2008-11-30,3.43,0.9,3.58,1.78,-23.61,0.0
2008-12-07,1.04,1.01,1.71,0.37,220.8,5.4
2008-12-14,1.41,2.47,3.31,1.42,-111.98,0.0
2008-12-21,3.65,0.92,2.95,1.74,116.15,4.75
2008-12-28,1.02,0.57,2.71,0.6,106.4,4.67
2009-01-04,1.64,2.07,1.41,1.43,113.6,4.73
2009-01-11,3.19,2.94,1.51,1.7,-76.0,0.0
2009-01-18,3.77,1.33,0.95,0.79,-34.92,0.0
2009-01-25,3.61,0.8,1.57,0.99,92.27,4.52
2009-02-01,1.9,1.93,1.91,1.27,-72.14,0.0
2009-02-08,3.85,2.77,3.47,1.18,176.17,5.17
2009-02-15,1.95,2.46,1.97,0.37,-46.29,0.0
2009-02-22,2.3,2.06,3.21,0.47,293.65,5.68
2009-03-01,3.99,1.29,2.21,0.47,395.32,5.98
2009-03-08,3.6,1.85,3.31,0.75,44.95,3.81
2009-03-15,4.4,0.73,3.92,0.72,290.42,5.67
2009-03-22,3.63,2.2,1.57,1.56,44.27,3.79
2009-03-29,3.27,2.31,3.56,1.27,-73.59,0.0
2009-04-05,1.37,2.91,2.79,1.6,10.65,2.37
2009-04-12,2.47,1.15,3.42,0.42,104.02,4.64
2009-04-19,2.06,0.55,2.89,1.12,-285.45,0.0
2009-04-26,1.98,1.86,2.16,0.85,199.91,5.3
2009-05-03,4.89,2.27,1.53,1.74,115.22,4.75
2009-05-10,2.57,2.48,1.02,1.5,273.28,5.61
2009-05-17,4.57,0.98,2.51,1.78,216.58,5.38
2009-05-24,3.52,1.15,3.97,0.38,127.47,4.85
2009-05-31,4.18,1.78,3.16,1.53,38.7,3.66
2009-06-07,3.01,1.33,1.85,1.22,378.38,5.94
2009-06-14,3.31,2.65,3.45,1.7,552.47,6.31
2009-06-21,2.97,1.68,3.26,1.16,30.87,3.43
2009-06-28,1.78,2.5,1.7,1.22,284.3,5.65
2009-07-05,3.89,1.95,0.85,0.39,-72.19,0.0
2009-07-12,2.12,2.43,1.18,1.44,-46.51,0.0
2009-07-19,1.1,1.33,3.61,0.76,5.44,1.69
2009-07-26,3.58,2.58,3.48,0.33,250.36,5.52
2009-08-02,1.71,1.19,1.74,0.41,-158.84,0.0
2009-08-09,4.76,1.87,1.71,1.93,405.8,6.01
2009-08-16,4.82,1.04,3.34,0.89,293.02,5.68
2009-08-23,4.66,1.69,3.8,1.78,255.73,5.54
2009-08-30,2.48,1.3,3.29,1.93,35.68,3.57
2009-09-06,1.06,1.17,2.74,1.9,238.98,5.48
2009-09-13,4.71,2.92,1.58,1.8,-478.11,0.0
2009-09-20,2.71,0.9,2.48,1.82,167.03,5.12
2009-09-27,4.87,2.47,1.55,0.79,127.74,4.85
2009-10-04,4.85,2.96,3.39,0.56,-249.31,0.0
2009-10-11,4.41,0.55,2.04,1.39,160.65,5.08
2009-10-18,2.18,2.25,3.47,1.13,220.24,5.39
2009-10-25,2.54,1.13,2.02,0.47,-304.18,0.0
2009-11-01,4.4,0.6,3.44,1.45,-136.09,0.0
2009-11-08,2.27,1.51,1.87,1.26,483.39,6.18
2009-11-15,1.68,2.84,2.21,1.77,52.17,3.95
2009-11-22,3.23,0.53,2.77,1.34,275.52,5.62
2009-11-29,4.74,1.97,1.02,1.28,308.71,5.73
2009-12-06,3.78,1.75,3.83,1.05,192.86,5.26
2009-12-13,3.28,2.68,2.64,1.09,306.86,5.73
2009-12-20,1.39,0.71,2.43,1.92,-356.96,0.0
2009-12-27,3.46,2.2,3.49,0.54,62.99,4.14
2010-01-03,4.96,2.2,3.57,1.06,-491.19,0.0
2010-01-10,1.56,2.17,2.47,1.41,-266.52,0.0
2010-01-17,3.07,2.86,3.77,1.04,11.34,2.43
2010-01-24,4.51,2.56,1.01,0.78,-47.29,0.0
2010-01-31,3.96,0.6,1.16,0.79,68.62,4.23
2010-02-07,3.79,1.68,2.71,0.7,90.44,4.5
2010-02-14,3.81,1.49,1.93,0.88,108.58,4.69
2010-02-21,2.44,1.28,2.29,1.78,112.94,4.73
2010-02-28,2.17,1.63,1.85,1.16,137.06,4.92
2010-03-07,4.24,1.46,2.1,0.71,-105.41,0.0
2010-03-14,4.24,1.58,3.43,0.95,-35.81,0.0
2010-03-21,4.47,2.95,2.7,0.48,106.63,4.67
2010-03-28,4.65,0.72,3.99,1.84,110.67,4.71
2010-04-04,3.05,2.81,3.32,0.99,-103.62,0.0
2010-04-11,3.01,1.7,1.68,1.97,295.74,5.69
2010-04-18,4.19,2.06,1.65,0.89,232.36,5.45
2010-04-25,3.6,2.58,1.87,1.72,-75.51,0.0
2010-05-02,3.81,1.4,3.5,0.74,61.76,4.12
2010-05-09,4.18,1.58,0.89,0.43,469.74,6.15
2010-05-16,4.56,1.52,1.54,0.35,111.7,4.72
2010-05-23,2.35,1.44,3.7,1.33,177.28,5.18
2010-05-30,2.5,2.81,2.85,0.83,-21.14,0.0
2010-06-06,1.38,2.57,1.53,1.05,7.41,2.0
2010-06-13,3.31,0.77,1.5,1.69,369.02,5.91
2010-06-20,1.14,0.77,3.56,0.72,98.07,4.59
2010-06-27,2.86,1.57,3.66,0.82,86.57,4.46
2010-07-04,3.17,0.75,1.62,1.74,68.83,4.23
2010-07-11,2.15,2.05,2.15,1.14,588.69,6.38
2010-07-18,3.36,0.86,3.47,1.71,105.77,4.66
2010-07-25,1.12,1.81,3.27,0.94,-81.68,0.0
2010-08-01,1.15,0.52,3.4,0.98,-59.7,0.0
2010-08-08,4.29,1.29,2.46,0.58,245.78,5.5
2010-08-15,2.44,2.19,3.72,1.86,-174.81,0.0
2010-08-22,1.51,1.71,1.84,1.82,159.47,5.07
2010-08-29,3.09,2.95,1.3,1.97,-55.32,0.0
2010-09-05,4.08,2.69,3.07,0.98,-255.95,0.0
2010-09-12,1.86,1.4,2.53,1.69,-117.99,0.0
2010-09-19,3.49,0.61,3.53,1.01,98.85,4.59
2010-09-26,1.34,2.61,1.06,1.07,342.39,5.84
2010-10-03,1.21,2.78,3.5,1.71,286.71,5.66
2010-10-10,3.13,2.55,1.74,0.6,25.97,3.26
2010-10-17,3.16,0.82,2.9,0.67,276.38,5.62
2010-10-24,3.55,2.99,0.93,0.84,11.08,2.41
2010-10-31,3.9,1.15,2.75,1.64,-198.85,0.0
2010-11-07,4.9,2.31,3.1,0.93,122.27,4.81
2010-11-14,3.07,2.77,1.98,0.91,-209.18,0.0
2010-11-21,2.29,1.09,1.49,2.0,222.02,5.4
2010-11-28,4.18,2.77,2.52,0.95,270.44,5.6
2010-12-05,2.08,1.27,3.47,0.72,-88.44,0.0
2010-12-12,2.76,2.94,1.84,1.36,120.79,4.79
2010-12-19,1.31,1.2,1.61,1.66,84.59,4.44
2010-12-26,1.1,2.88,1.69,0.42,245.29,5.5
2011-01-02,4.85,0.63,3.84,1.35,-138.28,0.0
2011-01-09,4.34,2.27,1.95,0.36,212.98,5.36
2011-01-16,3.78,1.83,0.81,1.19,-192.97,0.0
2011-01-23,2.64,1.69,3.3,0.74,250.07,5.52
2011-01-30,1.69,1.06,3.04,0.82,288.46,5.66
2011-02-06,1.63,2.26,1.21,1.09,-70.1,0.0
2011-02-13,2.0,0.98,3.95,1.88,340.21,5.83
2011-02-20,3.2,1.88,2.75,1.51,-217.92,0.0
2011-02-27,3.86,1.13,2.4,1.89,309.88,5.74
2011-03-06,3.64,2.89,2.02,1.42,388.94,5.96
2011-03-13,2.12,0.57,3.68,0.31,149.68,5.01
2011-03-20,4.82,1.0,1.58,0.75,38.91,3.66
2011-03-27,3.95,1.11,1.71,1.84,142.28,4.96
2011-04-03,3.22,1.54,1.19,1.39,-51.75,0.0
2011-04-10,3.45,1.08,3.23,1.97,623.76,6.44
2011-04-17,2.68,1.73,2.71,0.57,-31.73,0.0
2011-04-24,1.99,2.68,2.75,0.8,356.84,5.88
2011-05-01,2.42,2.28,1.5,0.92,-74.43,0.0
2011-05-08,4.03,1.95,2.88,0.86,422.54,6.05
2011-05-15,1.06,0.72,3.25,0.73,471.98,6.16
2011-05-22,1.46,2.23,1.95,1.05,150.18,5.01
2011-05-29,1.18,0.92,3.36,1.39,135.22,4.91
2011-06-05,1.16,2.47,1.92,0.83,-119.53,0.0
2011-06-12,4.42,1.13,3.23,0.44,-115.69,0.0
2011-06-19,3.81,1.54,0.91,1.5,129.75,4.87
2011-06-26,2.9,1.38,2.56,1.08,375.18,5.93
2011-07-03,1.39,2.65,3.9,1.25,-1.98,0.0
2011-07-10,2.97,0.82,3.94,1.07,539.58,6.29
2011-07-17,2.89,1.91,1.7,1.81,-41.32,0.0
2011-07-24,1.69,0.86,2.21,1.25,109.12,4.69
2011-07-31,2.74,2.26,1.0,1.87,119.8,4.79
2011-08-07,2.59,2.76,3.59,1.17,93.36,4.54
2011-08-14,3.46,1.59,2.62,0.8,-318.74,0.0
2011-08-21,3.54,1.72,2.03,0.9,-39.84,0.0
2011-08-28,1.18,2.82,1.16,1.19,106.55,4.67
2011-09-04,2.5,1.8,3.83,1.2,85.87,4.45
2011-09-11,3.5,1.72,2.5,1.47,220.69,5.4
2011-09-18,3.01,1.95,1.71,0.68,227.81,5.43
2011-09-25,4.43,2.22,1.92,1.42,49.98,3.91
2011-10-02,3.63,0.77,1.67,1.62,-121.09,0.0
2011-10-09,1.65,2.55,2.73,1.45,401.65,6.0
2011-10-16,1.28,1.59,3.78,1.12,-179.54,0.0
2011-10-23,3.57,0.68,3.54,1.99,-19.28,0.0
2011-10-30,1.11,2.47,2.27,0.99,-92.52,0.0
2011-11-06,3.34,1.44,3.44,0.48,247.42,5.51
2011-11-13,4.76,0.75,2.15,1.7,351.29,5.86
2011-11-20,3.3,2.08,1.61,0.66,44.1,3.79
2011-11-27,2.55,2.7,3.95,1.51,165.55,5.11
2011-12-04,3.57,2.72,1.77,0.6,176.58,5.17
2011-12-11,2.83,2.89,1.84,0.33,447.38,6.1
2011-12-18,3.18,2.67,3.97,0.57,-234.86,0.0
2011-12-25,4.77,0.51,1.23,0.94,216.17,5.38
2012-01-01,2.54,1.45,3.23,0.48,163.98,5.1
2012-01-08,4.84,2.55,3.79,0.64,55.25,4.01
2012-01-15,4.62,1.42,2.44,1.6,163.77,5.1
2012-01-22,1.78,2.0,0.81,1.61,206.64,5.33
2012-01-29,1.28,2.02,2.0,1.69,189.49,5.24
2012-02-05,1.4,1.41,1.16,1.73,485.88,6.19
2012-02-12,1.07,2.76,2.13,1.01,104.26,4.65
2012-02-19,1.38,1.76,3.33,1.77,96.3,4.57
2012-02-26,3.73,1.66,2.2,1.19,52.57,3.96
2012-03-04,1.28,2.99,2.18,1.1,195.03,5.27
2012-03-11,2.28,1.73,2.58,1.52,78.93,4.37
2012-03-18,4.38,0.95,2.66,0.66,92.27,4.52
2012-03-25,1.09,1.78,3.54,1.64,95.02,4.55
2012-04-01,4.26,2.54,1.79,1.03,69.51,4.24
2012-04-08,2.13,2.44,3.43,0.52,-21.39,0.0
2012-04-15,1.47,2.47,2.61,0.5,166.74,5.12
2012-04-22,3.79,2.27,1.76,0.58,29.85,3.4
2012-04-29,3.52,1.14,1.74,1.81,199.72,5.3
2012-05-06,4.51,2.66,1.96,1.98,129.35,4.86
2012-05-13,3.94,2.73,2.79,0.91,33.43,3.51
2012-05-20,4.21,0.99,1.54,0.8,385.56,5.95
2012-05-27,2.13,0.83,3.75,0.67,66.01,4.19
2012-06-03,1.71,2.94,2.64,1.7,221.61,5.4
2012-06-10,4.0,2.67,3.74,0.66,-16.49,0.0
2012-06-17,4.23,2.73,0.95,1.87,-314.91,0.0
2012-06-24,4.96,2.72,1.9,1.43,-5.49,0.0
2012-07-01,2.65,1.85,0.87,1.83,-361.82,0.0
2012-07-08,2.49,2.12,1.67,1.24,29.2,3.37
2012-07-15,4.11,1.86,3.56,1.47,409.68,6.02
2012-07-22,2.36,0.63,0.92,1.35,-134.09,0.0
2012-07-29,4.72,2.36,2.2,1.71,-313.56,0.0
2012-08-05,4.43,1.76,1.18,1.72,382.93,5.95
2012-08-12,2.72,2.12,2.13,1.3,-9.39,0.0
2012-08-19,4.0,1.76,3.48,1.38,109.1,4.69
2012-08-26,4.02,1.73,2.79,1.87,261.8,5.57
2012-09-02,1.41,0.93,3.16,1.88,183.86,5.21
2012-09-09,4.61,1.2,1.92,1.43,237.25,5.47
2012-09-16,3.02,0.9,3.82,0.31,273.92,5.61
2012-09-23,4.31,0.99,3.07,0.48,-254.47,0.0
2012-09-30,2.28,2.93,2.15,1.76,-188.4,0.0
2012-10-07,4.58,0.88,2.16,0.44,316.17,5.76
2012-10-14,2.56,1.17,3.74,0.66,-62.4,0.0
2012-10-21,1.04,1.98,2.64,0.69,-59.34,0.0
2012-10-28,4.62,2.03,3.06,1.32,-138.78,0.0
2012-11-04,1.37,0.88,2.13,1.28,-21.03,0.0
2012-11-11,2.28,2.48,1.52,0.79,4.86,1.58
2012-11-18,4.8,2.46,3.12,0.65,-69.54,0.0
2012-11-25,4.8,1.09,2.75,1.6,-109.9,0.0
2012-12-02,3.29,1.22,2.4,1.89,150.26,5.01
2012-12-09,3.53,2.84,2.8,0.39,-55.27,0.0
2012-12-16,2.79,2.56,1.47,0.53,-43.51,0.0
2012-12-23,2.17,2.24,3.34,1.39,-335.87,0.0
2012-12-30,2.31,0.71,3.83,1.67,480.47,6.17
2013-01-06,3.69,1.55,3.65,1.65,299.43,5.7
2013-01-13,4.01,1.9,1.83,1.52,-9.06,0.0
2013-01-20,4.17,0.97,2.1,1.81,-94.33,0.0
2013-01-27,4.16,1.62,3.39,0.67,109.04,4.69
2013-02-03,1.36,2.0,2.7,0.48,74.62,4.31
2013-02-10,2.98,1.32,2.55,1.35,-170.52,0.0
2013-02-17,1.23,2.45,3.77,1.7,-405.87,0.0
2013-02-24,3.2,2.6,2.52,1.29,-4.24,0.0
2013-03-03,2.77,1.31,2.45,1.94,-228.44,0.0
2013-03-10,4.55,2.6,0.93,1.65,124.12,4.82
2013-03-17,2.4,0.76,1.02,1.49,86.74,4.46
2013-03-24,1.47,2.59,0.82,0.4,-137.4,0.0
2013-03-31,1.57,0.88,3.72,0.48,-25.51,0.0
2013-04-07,4.05,0.71,2.11,1.63,433.24,6.07
2013-04-14,3.47,2.1,2.3,0.64,245.74,5.5
2013-04-21,1.4,1.68,3.51,0.35,-4.73,0.0
2013-04-28,1.34,2.77,2.75,1.85,552.81,6.32
2013-05-05,3.8,1.41,2.75,1.81,-141.73,0.0
2013-05-12,1.29,1.22,1.75,0.67,-108.01,0.0
2013-05-19,4.29,1.75,3.47,1.63,93.38,4.54
2013-05-26,3.82,1.64,1.33,0.38,-234.06,0.0
2013-06-02,1.33,1.36,0.97,0.78,403.47,6.0
2013-06-09,1.34,2.23,1.41,1.36,102.16,4.63
2013-06-16,4.95,2.4,1.66,1.6,-56.79,0.0
2013-06-23,2.5,2.63,1.7,0.32,168.26,5.13
2013-06-30,2.48,2.93,2.95,0.85,132.71,4.89
